#살아있다,원래 좀비영화 엄청 좋아해서 이번 영화도 괜찮게 봤어요뭔가 좀비에 집중하기보다 생존하려는 주인공들의 감정연기를 자세히 표현해줘서 감정이입도 잘됐고 다만 좀비의 행동패턴이 상식적으로 이해되지 않는 경우도 있었어요 좀비끼리 싸우는 장면이나 .. 그래도 괜찮았어욤,0.9466379880905151,부정
#살아있다,좀비 영화 다 비슷한 내용이지~ 너무 기대들 하시고 보신것 같음나름 좀비 드라마인듯 가벼운 맘으로 보면 볼만하다 생각했음깜짝놀랄만한게 나오나했는데 역시나 그 장면은 심장 쫄깃했음,0.9999457597732544,긍정
#살아있다,코로나 시기에 일부러 시간내서 돈 내서 보러 갔는데 무슨 tv드라마보다 재미가 없노.,0.9531775712966919,부정
#살아있다,평점이 5점이나 되나요? 너무 높아서 원래 2점짜리인데,0.9540707468986511,부정
#살아있다,재미없음,0.9999516010284424,부정
#살아있다,내용은 없으나 연기력은 짱,0.9999456405639648,긍정
#살아있다,우리 살아있다,0.9972700476646423,긍정
#살아있다,볼 영화가 없어서 예매율 1위인 영화.예고편이 전부인 영화임.좀비가 한국에서 뜨니까 만들어진 아류작이며 보는 내내 번히 예성되는 내용,0.9996715784072876,부정
#살아있다,
#살아있다,
밤쉘: 세상을 바꾼 폭탄선언,<빅 쇼트> 제작진의 또 하나의 사회를 향해 던지는 돌직구.,0.9996935129165649,중립
밤쉘: 세상을 바꾼 폭탄선언,실화가 바탕인 때문인지 이야기의 나열이 주를 이루고,0.9956795573234558,중립
밤쉘: 세상을 바꾼 폭탄선언,
밤쉘: 세상을 바꾼 폭탄선언,이런게 좋은 영화가 아니면 뭐가 좋은 영화냐수작임 다만 내용이 아닌 비쥬얼쇼크족이라면 다소 실망 가능,0.9999812841415405,부정
밤쉘: 세상을 바꾼 폭탄선언,<The Big Short>가 사회고발 장르에 독을 풀었다,0.9986182451248169,중립
밤쉘: 세상을 바꾼 폭탄선언,이런 영화들이 더 많이 만들어져야 한다!!!,0.836509644985199,긍정
밤쉘: 세상을 바꾼 폭탄선언,이제 피자게이트를 보여줘,0.9999874830245972,중립
밤쉘: 세상을 바꾼 폭탄선언,넘 밋밋하다.실망!미국 언론도 참 문제많다는 사실만 재확인하는.....,0.9999903440475464,부정
밤쉘: 세상을 바꾼 폭탄선언,특별한건 없는 전형적 헐리우드 폭로극,0.963195264339447,부정
밤쉘: 세상을 바꾼 폭탄선언,미녀삼총사,0.86057448387146,긍정
다크 나이트 라이즈,.,0.7533981800079346,긍정
다크 나이트 라이즈,IMAX로 재관람!!!첨 볼때 보다 더 감명깊게 봤네요.이번에 시리즈 연달아 다 봤더니...ㅠ 도대체 히어로물이 왜 감동이냐구요.보통 3편 실망하는데 이만하면 만족할만한 끝맺음입니다. 이제 다시 크리스천 베일의 배트맨 못 보나요. 그는   진정한 다크 나이트.ㅠ,0.99998939037323,부정
다크 나이트 라이즈,
다크 나이트 라이즈,나에게 배트맨은 다크나이트 시리즈 뿐이다,0.992230236530304,중립
다크 나이트 라이즈,
다크 나이트 라이즈,미국식 영웅얘기=히어로 물이라고 생각했던,0.9999983310699463,중립
다크 나이트 라이즈,사요나라  우려먹기 이러고 있네 원래 3부작이였어 빡대야,0.9985861778259277,부정
다크 나이트 라이즈,또 다른   뉴버전의  배트맨 시리즈!!   진심으로 기대됩니다!!  사랑해요 배트맨 !!,1.0,긍정
다크 나이트 라이즈,우려먹기 이제그만,0.9999852180480957,부정
다크 나이트 라이즈,지금 보니 재밌다,0.9999995231628418,긍정
소년시절의 너,호구남의 희생은 케케묵은 스토리지만 실화니까 토달 수 없다 급변하는 사회의 어두운 면이라는 공감 물론 그 분들의 수인한도 내 또는 관심 밖이라 가능했겠지만,0.9894222617149353,부정
소년시절의 너,학교폭력 상이한 커플 희생과 극복..주동우의 매력,0.9999788999557495,긍정
소년시절의 너,이영화 절대강추 이다 마침내 드디어 올해 두번째 절대강추 하게됐다 상반기도 끝나고 이제는 하반기 7월이 됐지만 이제야 올해 두번째 절대강추 하게됐다 지난해에는 기생충을 끝내 고민끝에 최종 그냥 강추 평점을 줬는데 올해는 지프라기라도 잡고 싶은 짐승들을 절대강추를 줄까 고민고민 하다가 결국은 그냥 기생충처럼 강추 평점만 주게됐는데  물론 기생충도 지푸라기라도 잡고 싶은 짐승들도 절대강추 평점을 받아도 전혀 손색이 없지만  이영화 소년시절의 너는 내 기준에선 상당부분 충족 합격 절대강추 평점을 주겠다 학교폭력과 대학입시 그리고 우정과사랑 스토리를 잘 짬뽕해서 시나리오를 너무너무 잘썼고 무엇보다도 이를 잘 연출했다 묘하게 프랑스의 옛날영화 이브몽땅인지 장가방인지 둘 중 누군지 갑자기 떠오르지 않는데 암튼 알랑드롱과 함께한 암흑가의 두 사람이란 영화가 난 왠지 어쩐지 떠올랐다,0.7547277212142944,긍정
소년시절의 너,한국영화가 신파극을 공산품 찍어내듯이.,0.9565100073814392,부정
소년시절의 너,
소년시절의 너,https://youtu.be/m_--UbeMzfU 칭구 왕따 시키지 말아라. 나중에 후회하지 말고,0.9997472167015076,부정
소년시절의 너,주동우,0.8439359068870544,긍정
소년시절의 너,남주 미쳤네.네이버 평점 못달아 이민옴~남주 후까시 장난아님.,0.9999781847000122,부정
소년시절의 너,
소년시절의 너,댓글 마케팅 오지게 하네..ㅎㅎㅎㅎ,0.9820906519889832,긍정
온워드: 단 하루의 기적,
온워드: 단 하루의 기적,애들이 보러가자고 졸라서 억지로따라갔는데 ㅜㅜ 너무잼있게봤어요. 심장 쫄깃해지고 스릴넘쳐요,0.9998027682304382,긍정
온워드: 단 하루의 기적,와 아들 둘이랑 정말 잼있게 봤네요 감동 슬픔 재미  다있네요  남자형제있는집에 강추입니다,0.9999988079071045,긍정
온워드: 단 하루의 기적,ㅠㅠㅠㅠㅠ보고 울었어요,0.9999840259552002,긍정
온워드: 단 하루의 기적,그냥 저냥 괜춘한 내용 늘 보던 미국식 가족애 소재가 마법사라는 점이 좀 새롭긴 했지만 마법보다는 가족 그냥 디즈니,0.9431276917457581,부정
온워드: 단 하루의 기적,주제를 보자면 어느 정도는 예상이 되지만알고봐도 그 감동은 어느새 흐르는 눈물이 말해줬어요아이들과 보러갔다가 아버지와 형제들 생각에 눈물이 멈추지 않았어요명작입니다,0.9988963603973389,긍정
온워드: 단 하루의 기적,.,0.7533981800079346,긍정
온워드: 단 하루의 기적,
온워드: 단 하루의 기적,눈물을 참을만 했다 https://sp017.tistory.com/389 10살 딸 - 7점 7살 아들 - 9점,0.9998875856399536,긍정
온워드: 단 하루의 기적,5학년 아들이랑 둘이서 봤습니다.저는 좋은 영화였다고 생각했는데우리 아들에게서도 같은 느낌을 받았습니다.말하지 않아도 통하는....,0.9052053093910217,긍정
결백,전개가 허술하다고? 시나리오가 부실하다고?거의 완벽한 시나리오와 사운드,0.9999954700469971,부정
결백,배우들의 연기가 다했다,0.9998674392700195,중립
결백,신혜선 진짜 연기잘한다,0.9999994039535522,긍정
결백,음....볼만하군~  신혜선 ... 오~~~~~~~굿,1.0,긍정
결백,증거조작한 검새는 어떻게 됬을까,0.9999804496765137,부정
결백,보통,0.6415203213691711,긍정
결백,잘 보았어요신혜선 짱♡♡♡,1.0,긍정
결백,신혜선 참 연기 잘함 ㅎ,0.9999994039535522,긍정
결백,시나리오가 조금 헐렁한 구조라도배우들의 연기가 좋으면 볼만하구나......,0.7288557887077332,부정
결백,스토리가 탄탄하고 지루하지 않고 좋았어요^^,0.9999959468841553,긍정
원 데이,
원 데이,옹옹홍은 꼴페미,0.9999934434890747,부정
원 데이,연출은 조금 아쉬웠지만 훈남훈녀의 열연과 배경이 너무 좋네요. 소소한 웃음으로 이끌다 마지막엔 잔잔한 음악과 함께 여운있는 먹먹함까지... 좋은 영화였습니다.,0.9999997615814209,긍정
원 데이,
원 데이,남자가 쓰레기로만 비쳐질 수 있다. 엠마는 이 남자를 통해 느꼈던 슬픔보단 행복이 더 컸다고 생각했다. 엠마는 "내일 무슨일이 있더라도 우리는 오늘 하루 살았어."라고 이야기할 수 있는 사람이기 때문이다.그렇기에 결말이 비극적으로 끝났지만 그년는 비록 짧은 시간이었지만 그와 함께했던 하루하루를 행복하게 살았기에 후회는 없을 것이다.,0.9968984127044678,긍정
원 데이,난 이미 남자에게 정이 싹싹 털려 욕만 나오던데 여자는 무슨 이유인지도 모르게 계속 다 받아주기만 하더라주인공이 혼자서 연애하는 영화,0.9999978542327881,부정
원 데이,언제나 지나고 나서 후회한다...,0.9989011287689209,부정
원 데이,
원 데이,
원 데이,이룰수 없을것 같던 로맨스가 사랑으로 가다가 한방에 대형 반전으로 뒷통수를 치는 충격적인 영화. 시간이 꽤 오래지났는데도  로맨스 명작으로 오래 기억에 남는다.  짐스터케스,0.9163306951522827,부정
불량한 가족,박초롱 연기 잘하네요~,0.9999998807907104,긍정
불량한 가족,실제 우리 가족들에게 벌어질법한 일들을 기발한 상상력으로 풀어낸다- 동시에 사회문제까지 얘기하려는 뚝심까지!,0.5726693272590637,부정
불량한 가족,불량하지만 불량하지 않은 불량한 가족,0.9999769926071167,부정
불량한 가족,모든 캐릭터가 재밌고 슬프고 어디서 본 듯한 그러나 낯선. 아빠들의 연기도 재미있다. 가족의 의미를 고민하게 하는 영화. 후반 전개가 다소 빠르지만 오히려 속이 시원하다.,0.5977128148078918,긍정
불량한 가족,시간날때 보면괜찮은영화,0.9837124347686768,긍정
불량한 가족,우와..화면이 넘 예뻐서 기분좋게 봤네여혹시 여성촬영감독님이  찍으신건지넘 아름다운 화면이  내용과 더불어 생각 많이 날것 같아여 훈훈한 가족애 때문에 우리집 가족들도 다시  생각하게 되는 영화였어요 아빠역 맡으신 박원상씨 도지한씨 다른 영화에서도 많이 뵙길 바랍니다,1.0,긍정
불량한 가족,무난한영화 일상같은영화 가족이생각나내요,0.9999984502792358,긍정
불량한 가족,
불량한 가족,
불량한 가족,꼭 보세요!!!!!,1.0,긍정
소리꾼,
소리꾼,우린나라 소리도 레미제라블처럼 만들수 있다는 기대감이 가는 작품.아직 출발은 미숙하지만 가능성이 있다.,0.7945576906204224,부정
소리꾼,
소리꾼,음악과 스토리에 조화가 너무나 아름답고 따뜻합니다. 우리 소리의 아름다움을 많은 사람들이 느꼈으면 좋겠습니다.,0.9999998807907104,긍정
소리꾼,
소리꾼,처음엔 뭔가 조화가 안 맞는 듯했으나,0.9231337904930115,부정
소리꾼,어설픈 연기와 연출....,0.998582124710083,부정
소리꾼,
소리꾼,
소리꾼,감동적입니다.울면서 봤습니다.흥했으면 좋겠습니다~,1.0,긍정
너와 파도를 탈 수 있다면,
너와 파도를 탈 수 있다면,
너와 파도를 탈 수 있다면,상실을 받아들이는 또 하나의 프로세스인가 천천히 한 번 들어와봐,0.6196269989013672,중립
너와 파도를 탈 수 있다면,재밌어요 감동적이고,1.0,긍정
너와 파도를 탈 수 있다면,200원주고 다운받아 봤다,0.9997935891151428,중립
너와 파도를 탈 수 있다면,
너와 파도를 탈 수 있다면,
너와 파도를 탈 수 있다면,마모루 마모루,0.9757664799690247,긍정
너와 파도를 탈 수 있다면,또보고싶다^^,0.9999986886978149,긍정
너와 파도를 탈 수 있다면,바다에서 시작된 두남녀의 사랑이 남자의 죽음으로 물거품처럼 사라지지만 그녀의 노래소리에 죽은 남자가 물속에서 나타나면서 이야기가 전개되는 애니메이션,0.7050715684890747,부정
그레텔과 헨젤,
그레텔과 헨젤,
그레텔과 헨젤,어둡고 우울하며 공허한맛이 매력적인 판타지영화에깜놀과 반전이 가득한 호러영화를 기대한다면당연히 실망할것이다.,0.9999940395355225,부정
그레텔과 헨젤,
그레텔과 헨젤,
그레텔과 헨젤,블룸하우스도 못 고치겠군.,0.9999877214431763,부정
그레텔과 헨젤,이영화 비추다 하지만 스토리가 너무너무 마음에 들고 인비져블맨 보다도 나쁘지 않았다 그것1 그것2 에서의 여주를 다시 공포물에서 또 보니 좀 뭐랄까 질린다고까진 아니지만 암튼 뭐 그렇다 스토리는 이렇게도 변형이 가능하는구나 하고 크게 만족하지만 참으로 기발하다 했지만  전체적으로는 역시나 나도 아쉽고 실망스러웠다 우리가 스티븐킹의 그것2 저멀리 옛날에 리버피닉스의 스탠바이미 까지 볼때 공감하는 것은  결국 마크 트레인의 톰소여모험 허클베리핀 변형 같다 하기 때문이다 아무리 청소년권장도서도 아닌 그보다도 아래인 유치한 어린이들이나 보는 만화영화에나 적격인 마크트레인의 작품도 후세에 살짝표절 변형을 주기에 영감을 주기에 명작이라 하는 것이다 암튼 이영화 스토리 만큼은 내겐 마음이 들었다 다만 누구나 극장을 나오면서 실망감에 콰이어트플레이스2탄 빨리 좀 개봉했으면 할것이다,0.9998761415481567,부정
그레텔과 헨젤,북미개봉때 봤었는데 루즈하고 생각보다 별거없음,0.9445525407791138,부정
그레텔과 헨젤,
그레텔과 헨젤,
아무튼 아담,주제가 좋아도 감독의 영향이 중요하지.,0.9861332774162292,긍정
아무튼 아담,실화를 소재로 한 영화이기에  처음과 끝이 확실하게 정해져 있는 상황에서 ,0.7444176077842712,부정
아무튼 아담,.,0.7533981800079346,긍정
아무튼 아담,뻔한 스토리라고 볼 수도 있지만 비슷한 일을 겪은 이들에게는 이런 이야기가 정말 큰 힘이 되어 줄 것이다.,0.6133921146392822,긍정
아무튼 아담,
아무튼 아담,단편적인 이야기의 나열과 밋밋한 구성 탓에 마음이 좀체 움직이질 않는다. 더군다나 자존감과 삶의 의지를 회복하는 동기가 '그것'으로만 묘사된 점에 심드렁해진다.,0.7398624420166016,부정
딥워터,
딥워터,시리도록 수려한 설산 풍광아래 수중구조 자매우애가 아름다운 감동을 자아낸다 !,1.0,긍정
딥워터,재미있을듯,0.9999710321426392,긍정
딥워터,스토리,0.928200900554657,긍정
딥워터,<어벤져스> 제작진이 참여했다는 (매우) 리얼한 수중 연출bb  몰입도 역대급 영화,0.9999995231628418,긍정
딥워터,신선한 소재,0.9999923706054688,긍정
딥워터,여름 시즌을 겨냥한 나쁘지 않은 재난 영화,0.9999961853027344,부정
딥워터,스릴있고 여름에 시원하게봤습니다!!,0.9999994039535522,긍정
딥워터,재밌어 보임,0.9996298551559448,긍정
딥워터,이런 류의 영화 좋아하기도 하고 잼있어 보이기도 한데... 위험하다 싶으면 쫌 다른데 가거나 다음에 오거나 해야지 꼭 사서 고생하더라..,0.9997411370277405,부정
위대한 쇼맨,
위대한 쇼맨,
위대한 쇼맨,음악 너무 좋아요..,1.0,긍정
위대한 쇼맨,노래는 참 좋아. 그런데 역사 및 인물 왜곡이 너무 심해서 좋은 영화라 할 수 없네,0.9999356269836426,부정
위대한 쇼맨,아직안봤다구요?? 행복해지고싶어지심 봐야하는 영화! 강츄!!!!,0.9999997615814209,긍정
위대한 쇼맨,이거느은 진짜아루 이게 인생영화다 시프다너어무 조아유,0.9999971389770508,긍정
위대한 쇼맨,
위대한 쇼맨,THIS IS THE GREATEST SHOW,0.9999099969863892,중립
위대한 쇼맨,우리딸  인생영화.  세번째 보고 옴. 말이 필요없음.,0.9898567199707031,부정
위대한 쇼맨,.,0.7533981800079346,긍정
트로이 디렉터스 컷,
트로이 디렉터스 컷,
트로이 디렉터스 컷,첫 극장 개봉작은 별로 관심 없어 보지 않았는데디렉터스컷은 호기심이 발동해서 보게 되었음.3시간 넘는 러닝타임이 군더더기 없이 지루하지 않았고,0.9368784427642822,부정
트로이 디렉터스 컷,새롭게 더 강화된 디테일한 묘사는 좋았지만 예전 첨 봤을때의 감동보다는 들한것 같다. 역시 신을 팔아서 먹고사는 인간들은 예나 지금이나 문제의 근원인것 같다.,0.9992781281471252,긍정
트로이 디렉터스 컷,다시봐도 여전히 명작.,0.9994284510612488,긍정
트로이 디렉터스 컷,브래드 피트 보러갔다가 영화가 중학생 때 보던 것과 다르게 잔인해서 뭐지 했는데 감독판...감독판은 역시 훌륭하다,0.9999291896820068,긍정
트로이 디렉터스 컷,강추,0.9886019825935364,긍정
트로이 디렉터스 컷,브래드 피트 때문에 보러갔는데 영화관을 나올 때는 헥토르 역의 에릭 바나만 맴도네요,0.9365814328193665,긍정
트로이 디렉터스 컷,그러니 미란다커도 차버렸지~ㅋ,0.7355872392654419,부정
트로이 디렉터스 컷,다시 봐도 역시 파리스는 개새끼네요,0.9999902248382568,부정
다크 나이트,
다크 나이트,세계 최강 불록버스터,0.9996917247772217,긍정
다크 나이트,한 순간도 눈을 뗄 수 없다.,0.9488475918769836,부정
다크 나이트,드디어 용아맥에서 보다,0.5366040468215942,긍정
다크 나이트,하비의 광기어린 잘못된 행동은 공감이 안 되지만 영화 자체는 지금봐도 재미있다.,0.9994103908538818,긍정
다크 나이트,무슨 말이 필요하리요~~이번에는 배트맨과 조커 둘 다 주연이다!!!!!,0.9999587535858154,긍정
다크 나이트,진심으로  멋진 어둠의 전사!!!   2020년 버전 배트맨을 제대로 봐야한다고 생각합니다!!   완전 최고!!,1.0,긍정
다크 나이트,이게 벌써 12년이나 흘렀다니;; 시간은 흘러도  여전하네,0.9963861703872681,부정
다크 나이트,
다크 나이트,말이필요없는 명작이다,0.9999278783798218,부정
시티 오브 갓,
시티 오브 갓,브라질 영화라니 좀 생소하지만,0.8724364042282104,부정
시티 오브 갓,이 영화를 보고 두 가지를 느꼈다.첫번째는 행복은 상대적이란 것이다. 이 영화는 극심한 빈곤층을 주인공으로 삼았다. 나는 지금 삶에 취업에 치이고 있다. 돈을 벌기 위해 아둥바둥 살고 있다. 이 감정은 이들에 비해 상대적으로 풍요로운 삶이다. 이들은 일상생활속에서 목숨을 걸고 있다.  영화속에서 나온 등장인물들은 모두 하루하루 생과 사를 넘나들고 살고 있다. 그 모든 것들이 가족을 지키기 위해서 현재의 삶을 유지하기 위해서 필요하다.비록 영화속에선 심각한 악당으로만 비춰지지만,0.9846739768981934,긍정
시티 오브 갓,두번째보니 더 재미있다. 참담하고 절망적인 현실을 그냥 아무렇지도 않게 비웃듯이 얘기하는 영화.,0.9999985694885254,부정
시티 오브 갓,충격적인 도시의 주인들,0.9755144715309143,부정
시티 오브 갓,저래도 멕시코 치안보다는 낫다고 본다. 멕시코는 마약카르텔이 정부를 삼키는 수준이라.... 전체 경찰서 절반 가까이가 카르텔과 연관되어 전원 교체된 경찰서도 있을정도니...검사,0.9999945163726807,부정
시티 오브 갓,총을 가진 미친놈들이 사회의 법이되는 브라질의 빈민가. 죽음에 무감각한 도시의 모습은 공포 그 자체.,0.9999878406524658,부정
시티 오브 갓,실화라는 것이 놀랍고,0.994292140007019,긍정
시티 오브 갓,폭력의 일상화,0.9998496770858765,부정
시티 오브 갓,이런 갱 영화는 처음 본다,0.9944100975990295,중립
팡파레,임화영 배우 너무 좋음,0.9999994039535522,긍정
팡파레,
팡파레,광숙아!!! 많이 컸네....,0.999599277973175,긍정
팡파레,
팡파레,가시꽃의 충격을 잊을수가 없다 이 영화 개봉 안하는거냐,0.9999604225158691,부정
팡파레,
팡파레,너무 재미있었어요 최고 !!,1.0,긍정
팡파레,'현기증'   영화   잘봤어요다음  작품   기대하고있어요,0.9999998807907104,긍정
팡파레,
트랜짓,스토리  ,0.928200900554657,긍정
트랜짓,잔잔하듯 하지만 영화 속 이야기에 많은 것들이 담겨있다...상영관 찾기 힘들었던게 흠..,0.999756395816803,부정
트랜짓,그 시대 그 시절에도 지금도 사랑은 그리고 난민은 어쩔?,0.9990198612213135,부정
트랜짓,이 대박을 과연 알아나 볼까. 이런 영화 정말 좋다.,0.9999988079071045,긍정
트랜짓,낯설은 분위기 속에 미스터리 모습들을 담았다.,0.9730437397956848,긍정
트랜짓,2차대전을 그대로 그렸다면 평범한 2차대전 영화 일수있는데 현대와 2차대전과 공존을 한다는건 참 기발한거 같다,0.9973520040512085,긍정
트랜짓,
트랜짓,
트랜짓,유령은 아무도 포옹할 수 없다.,0.9991258978843689,부정
트랜짓,오늘 겨우 시간대가 맞아 한국영상자료원행...... "인 디 아일"에서 반해버린 타고난 개성에 걸맞는 연기파 프란츠 로고브스키가  독일 대표적 명감독 크리스티안 펫졸드 지휘하에 유럽 영화의 참 맛을 보여주다 ...부조리한 인생사...체취(분위기)가 같을 수 없음에도 까뮈의 "이방인"이 자꾸 생각나서 귀가하자 검색하니 까뮈가 이방인을 발표한 바로 그 1942 년에 통행증(안나 세거스 원작 책명 "수용소")도 출판되었넹..귀신이 곡할 노릇! 어렵다면서도 질기게도 파고들었던 까뮈와 달리 통행증 원작자는 오늘 평생 처음  알게된 이방인이건만.... 이 좋은 작품에 다른 분들의 의견을 알 수 없어 평론가(?) 내지 기자(?)들의 말쌈을 보니 ...으이구우~ 영화나 연극 관련 국내 평론을 읽지 않게 된 바로 그...외래어 남용과 이해하기 힘든 전문어(?)들이 뒤섞여  머리만 더 복잡..."그 어떤 리얼리즘 보다도 더 리얼리틱한 허구에.."내가 미쵸뿌러야~~~,0.5087745189666748,긍정
야구소녀,10점 위 점수가 없어서 10점 밖에 못 주는게 아쉽네요.,0.9999911785125732,부정
야구소녀,
야구소녀,두번 세번 봐도 모자라다,0.9992477893829346,부정
야구소녀,결말이 너무 뻔할 것 같았지만,0.9999935626983643,부정
야구소녀,학생들과 울며 본영호ㅏ,0.9999877214431763,긍정
야구소녀,뭐 여자라서 안된다고??? 고교 야구수준도 안되는게 여자라고 이해하라고 ?뭐 개소리야..진짜 수없이 많은 선수들이 프로야구진출에 좌절하고 전혀 다른일을 하고 있는데이런 뜬구름 잡는 이야기 하면 뭐 있어 보여?,0.9999958276748657,부정
야구소녀,이주영씨의 연기 탁월합니다. 혹자는 주인공의 모습이 남자 같다하는데 이는 문화적으로 각인된 외모의 성차별 편견이지요. 앞으로 야구가 남자의 성역이 아니길 간절히 바랍니다. 혼성으로 구성되는 야구가 되길! 그날이 반드시 올 것입니다. 그리고 그 시대를 살아낸 안향미 선수 홧팅!!!!!!!!!!!,0.9984790682792664,긍정
야구소녀,야구  소녀  마지막  10분을  남겼네요.주영이가  남자  같음.,0.48714613914489746,긍정
야구소녀,
야구소녀,위로가 되었던 영화에요 최고!!,1.0,긍정
